"PC_Count","Trait","Accuracy","SE_Accuracy","Bias","SE_Bias"
102,"ALWT",0.18872107556485,0.0507570713493498,1.21902634130827,0.334788507396973
102,"AScCH4",0.0700996887540767,0.0523729491387675,0.552548623739762,0.414989877026324
102,"AScCH4Ratio",0.0550428988440431,0.0524721199624655,0.38419204871919,0.367824756352502
102,"AScCO2",0.0711895336593999,0.0523648447524925,0.428814230113543,0.317104589166256
346,"ALWT",0.190309012566144,0.050725393670321,1.24796302090104,0.339769702645927
346,"AScCH4",0.0810656941298754,0.0522857028018548,0.666177003539929,0.432288400346119
346,"AScCH4Ratio",0.0652462432031335,0.0524075225130462,0.480227044573914,0.387630101220682
346,"AScCO2",0.0711895341705093,0.0523648447486624,0.428814233182994,0.317104589147822
648,"ALWT",0.187265517034396,0.0507858750594653,1.22456202250896,0.339018984476216
648,"AScCH4",0.0845754810699151,0.0522551046316733,0.728128003758672,0.452748681863464
648,"AScCH4Ratio",0.0678111876506081,0.0523895601489165,0.535272010781982,0.415647465298822
648,"AScCO2",0.0711895341705093,0.0523648447486624,0.428814233182994,0.317104589147822
936,"ALWT",0.192659148572869,0.0506780238142725,1.29333839713665,0.347665780256952
936,"AScCH4",0.0795453320815273,0.0522985547444231,0.653803328755525,0.432421070975165
936,"AScCH4Ratio",0.0694142161821914,0.0523779824522006,0.516018189766836,0.391399751838222
936,"AScCO2",0.0711893545097241,0.0523648460949731,0.428813179973671,0.317104614660452
